Re,alpha,CL,CD,CM
20000,21,1.104447814700976,0.2775863929897628,-0.14005963056703988
20000,21.5,1.1209050230239703,0.2826686363263316,-0.14447762302141678
20000,22,1.1372639562808913,0.28767356990786414,-0.14891944277919797
20000,22.5,1.1534858088619713,0.2926126321371835,-0.1533707138074627
20000,23,1.1695336500096858,0.29749569697155354,-0.15781792391195357
20000,23.5,1.1853734980007862,0.3023309202671945,-0.16224878682188365
20000,24,1.2009748536357505,0.30712468171645296,-0.16665231453619983
20000,24.5,1.21631085390812,0.3118815559631813,-0.17101875369107095
20000,25,1.2313581805534402,0.31660430569040593,-0.17533947308857334
20000,-20,-0.9519585879129697,0.26587689949844806,0.10883686941589987
20000,-19.5,-0.9346972191839342,0.2604778768977845,0.10499904067285651
20000,-19,-0.9174878091000432,0.2550097041929158,0.10126037844738467
20000,-18.5,-0.9003556394832533,0.24947699881443589,0.097632934973688
20000,-18,-0.8833179203400808,0.2438851970328126,0.09413169445154893
20000,-17.5,-0.8663847575903783,0.23823974173512713,0.09077445147402446
20000,-17,-0.8495646787552198,0.23254405098526074,0.08757869740289462
20000,-16.5,-0.8328737260388726,0.22679651314773197,0.08455563617873606
20000,-16,-0.8163401442317495,0.22098845321345986,0.08170580902984831
20000,-15.5,-0.7999920997394886,0.21510585914050678,0.07902374769173331
20000,-15,-0.783828018472592,0.20913540725519794,0.07651291240067262
20000,-14.5,-0.7678064603127864,0.20307081502488752,0.07419493087350743
20000,-14,-0.7519087459338994,0.19691263203362788,0.0720896107735971
20000,-13.5,-0.7361883820337642,0.19065351756389295,0.07019515466487235
20000,-13,-0.7205128658410402,0.1842329630319432,0.06858255589086458
20000,-12.5,-0.7041651756956157,0.17749777897701446,0.06755186946184581
20000,-12,-0.686795975206546,0.17039128178451501,0.0672651291413062
20000,-11.5,-0.6693017553813652,0.16309576407167545,0.06732838469370266
20000,-11,-0.6503249677571197,0.1555060585163824,0.06768668235882515
20000,-10.5,-0.6270057457733257,0.14719106573009072,0.06868142944302442
20000,-10,-0.6003540336070947,0.13767981667950527,0.06988479871924204
20000,-9.5,-0.5599093973494493,0.1259022238820006,0.06829672348131612
20000,-9,-0.47262339987358104,0.10874214304989545,0.056007134176662664
20000,-8.5,-0.4048004337020017,0.09574821601822348,0.045113693709749804
20000,-8,-0.3734634952243693,0.08777924868318433,0.04053197275636292
20000,-7.5,-0.3484844967831924,0.08136655273994073,0.037692250839901485
20000,-7,-0.35922189159977047,0.07768627446974254,0.04094666033607142
20000,-6.5,-0.44923882398555526,0.07942889813292368,0.05270642974047604
20000,-6,-0.5176823633982819,0.08177755774583256,0.05127324327074359
20000,-5.5,-0.5343485491314444,0.07799873891840738,0.035795828702202256
20000,-5,-0.5134673499358396,0.06693825227481551,0.013689641519220114
20000,-4.5,-0.4417914031601772,0.05630399799721474,-0.008294864215693868
20000,-4,-0.35013987931360774,0.04777522147517743,-0.02123566352346277
20000,-3.5,-0.2860859935123299,0.03968194778910019,-0.025999342299056174
20000,-3,-0.23863584719938877,0.0324963845850417,-0.02435939936188184
20000,-2.5,-0.17807324775387698,0.025597333834861794,-0.02224131299946315
20000,-2,-0.09970254080269311,0.02159050479171147,-0.02389313771384294
20000,-1.5,-0.05032768658143713,0.020942163984365037,-0.021281232988006982
20000,-1,-0.0034299079344185524,0.021028452893708142,-0.01921555904003973
20000,-0.5,0.0461827669046834,0.021044985937258676,-0.018349727046761865
20000,0,0.09673449761010453,0.02109971605797484,-0.017867389819876248
20000,0.5,0.14691787899396194,0.02129719672765666,-0.017506012699675527
20000,1,0.1958174045399448,0.021687439872456884,-0.017295032497189337
20000,1.5,0.2426704583174512,0.022284680969258366,-0.017305760981663712
20000,2,0.28635138756544487,0.023098468148937144,-0.017512429160875264
20000,2.5,0.32453132706842175,0.02421170161006033,-0.017687536826334564
20000,3,0.3540497313372498,0.02587533537655538,-0.017432528306920082
20000,3.5,0.3857387833324789,0.028487413065415437,-0.017976249047180225
20000,4,0.49678106274072376,0.03270618231085276,-0.029454728259724075
20000,4.5,0.6519751568438266,0.037974775291712434,-0.042287527138230564
20000,5,0.7025758008017235,0.04305267410979814,-0.03463053600658765
20000,5.5,0.7272352969756724,0.05017611187609188,-0.026723585045746703
20000,6,0.75440130719332,0.06023688031688516,-0.026905534888935972
20000,6.5,0.7896628575116572,0.07172873543613079,-0.03750681193342409
20000,7,0.8047417575323305,0.08382700920228735,-0.0547751652896226
20000,7.5,0.7831521167916754,0.09451593047153582,-0.0678617180974433
20000,8,0.7220350143104269,0.09968785124051052,-0.07304259593403647
20000,8.5,0.6366135259474321,0.10236129906853386,-0.07244829094171093
20000,9,0.621929877224464,0.11006130369930231,-0.07953064894622883
20000,9.5,0.6700790940374811,0.12265263186823899,-0.08990178630835992
20000,10,0.7134893310019489,0.13437937403369432,-0.09539683330397196
20000,10.5,0.7389848732659067,0.14413004125594076,-0.09656991069785993
20000,11,0.7620878347127921,0.15361369820705145,-0.09704918300013353
20000,11.5,0.7851511643162853,0.1622253348801051,-0.09736424902997656
20000,12,0.8078526476121866,0.1702394832790722,-0.09764042014595654
20000,12.5,0.8283005936477431,0.17783291241891622,-0.09829159614002754
20000,13,0.8463349864830741,0.18503618387218224,-0.09936867076612399
20000,13.5,0.8640779085369006,0.1921373400047546,-0.10060307089454477
20000,14,0.881889268628952,0.19915866470142468,-0.1020498670372284
20000,14.5,0.8989608764908357,0.20593163171851925,-0.10395862567677878
20000,15,0.9152432835948201,0.2124335171179283,-0.10628032036229806
20000,15.5,0.9313853910606569,0.2187868428851131,-0.10876357672977284
20000,16,0.9477058405711332,0.22506260529339975,-0.11132888650578038
20000,16.5,0.9641501104860927,0.23126492452063624,-0.11402996632410436
20000,17,0.9806235083240529,0.23738275041420592,-0.11691128299687223
20000,17.5,0.997114869923936,0.243409696346831,-0.11997202873592976
20000,18,1.0136517629606194,0.2493471230742504,-0.12319259766773567
20000,18.5,1.0302419177599096,0.2552028000197565,-0.12655957488985553
20000,19,1.0468637640585827,0.2609868620341092,-0.13006822869199092
20000,19.5,1.0634840718769654,0.2667071797186299,-0.1337137018291076
20000,20,1.0800733092577155,0.27236665483115374,-0.13748423167105395
20000,20.5,1.0966095519185597,0.2779633534483453,-0.14136072665569382
20000,21,1.1130747345014325,0.2834925024647198,-0.1453204841413071
20000,21.5,1.1294496068622735,0.288948700020212,-0.1493412877872223
20000,22,1.1457109625161126,0.2943273148060041,-0.15340377888835285
20000,22.5,1.161831496326529,0.29962496200442124,-0.15749199591127108
20000,23,1.1777812060741584,0.3048394097064414,-0.16159285898966141
20000,23.5,1.193529243474745,0.3099692852462231,-0.16569533246410434
20000,24,1.2090455797243271,0.3150137929482034,-0.16978966733417103
20000,24.5,1.2243022403470256,0.3199725102573312,-0.17386686214877364
20000,25,1.2392740763797845,0.32484525051891483,-0.17791834823435268
50000,-20,-0.9451033623667309,0.2592545121454783,0.11128414420639841
50000,-19.5,-0.9278570734006015,0.2532065119309092,0.10695960685785173
50000,-19,-0.9106444602347842,0.2471051213364578,0.10271108579057772
50000,-18.5,-0.8934837485506979,0.2409559964547411,0.09854376068486818
50000,-18,-0.876389932678447,0.23476516080081472,0.09446047847900477
50000,-17.5,-0.8593755855420708,0.22853843142724342,0.0904618541101509
50000,-17,-0.842452228639038,0.22228077402066937,0.08654652829411916
